Metabolite;Volume;Time;GF mice SRV data;Used for fitting
P_si1;0.3;0;0;
P_si1;0.3;0.5;NaN;
P_si1;0.3;1;NaN;
P_si1;0.3;1.5;NaN;
P_si1;0.3;2;NaN;
P_si1;0.3;3;0.222;
P_si1;0.3;5;0.065;
P_si1;0.3;7;0.037;
P_si1;0.3;9;0.007;
P_si2;0.3;0;0;
P_si2;0.3;0.5;NaN;
P_si2;0.3;1;NaN;
P_si2;0.3;1.5;NaN;
P_si2;0.3;2;NaN;
P_si2;0.3;3;0.469;
P_si2;0.3;5;0.205;
P_si2;0.3;7;0.103;
P_si2;0.3;9;0.015;
P_si3;0.3;0;0;0
P_si3;0.3;0.5;NaN;NaN
P_si3;0.3;1;NaN;NaN
P_si3;0.3;1.5;NaN;NaN
P_si3;0.3;2;NaN;NaN
P_si3;0.3;3;0.255;0.255
P_si3;0.3;5;0.309;0.309
P_si3;0.3;7;0.136;0.136
P_si3;0.3;9;0.04;0.04
P_serum;22;0;0;0
P_serum;22;0.5;0.134;0.134
P_serum;22;1;0.098;0.098
P_serum;22;1.5;0.095;0.095
P_serum;22;2;0.088;0.088
P_serum;22;3;0.069;0.069
P_serum;22;5;0.039;0.039
P_serum;22;7;0.026;0.026
P_serum;22;9;0.011;0.011
M_serum;22;0;0;0
M_serum;22;0.5;0.002;0.002
M_serum;22;1;0.002;0.002
M_serum;22;1.5;0.002;0.002
M_serum;22;2;0.002;0.002
M_serum;22;3;0.002;0.002
M_serum;22;5;0.001;0.001
M_serum;22;7;0.001;0.001
M_serum;22;9;NaN;NaN
P_cecum;3;0;0;0
P_cecum;3;0.5;NaN;NaN
P_cecum;3;1;NaN;NaN
P_cecum;3;1.5;NaN;NaN
P_cecum;3;2;NaN;NaN
P_cecum;3;3;0.015;0.015
P_cecum;3;5;0.1;0.1
P_cecum;3;7;0.116;0.116
P_cecum;3;9;0.192;0.192
M_cecum;3;0;0;
M_cecum;3;0.5;NaN;
M_cecum;3;1;NaN;
M_cecum;3;1.5;NaN;
M_cecum;3;2;NaN;
M_cecum;3;3;0;
M_cecum;3;5;0;
M_cecum;3;7;0;
M_cecum;3;9;0.001;
P_colon;3;0;0;0
P_colon;3;0.5;NaN;NaN
P_colon;3;1;NaN;NaN
P_colon;3;1.5;NaN;NaN
P_colon;3;2;NaN;NaN
P_colon;3;3;0.032;0.032
P_colon;3;5;0.117;0.117
P_colon;3;7;0.158;0.158
P_colon;3;9;0.19;0.19
M_colon;3;0;0;
M_colon;3;0.5;NaN;
M_colon;3;1;NaN;
M_colon;3;1.5;NaN;
M_colon;3;2;NaN;
M_colon;3;3;0.001;
M_colon;3;5;0.001;
M_colon;3;7;0;
M_colon;3;9;0;
P_feces;3;0;0;0
P_feces;3;0.5;NaN;NaN
P_feces;3;1;NaN;NaN
P_feces;3;1.5;NaN;NaN
P_feces;3;2;NaN;NaN
P_feces;3;3;0.075;0.075
P_feces;3;5;0.174;0.174
P_feces;3;7;0.304;0.304
P_feces;3;9;0.376;0.376
M_feces;3;0;0;
M_feces;3;0.5;NaN;
M_feces;3;1;NaN;
M_feces;3;1.5;NaN;
M_feces;3;2;NaN;
M_feces;3;3;0.001;
M_feces;3;5;0.001;
M_feces;3;7;0.002;
M_feces;3;9;0.002;
